Compound_Name,smiles,N𝛿–,InChIKey
alln_183,C[C@@H](N)c1ccc(F)cc1,-0.82026,QGCLEUGNYRXBMZ-ZCFIWIBFSA-N
alln_184,NC1=NCCCCC1,-0.80102,GTLJSJNKRLFVSJ-UHFFFAOYSA-N
alln_185,NC1=NCCCS1,-0.81082,PQXQEOIFIUJLIE-UHFFFAOYSA-N
alln_186,C[C@@H]1CCC[C@@H](N)C1,-0.82874,JYDYHSHPBDZRPU-RNFRBKRXSA-N
alln_187,N[C@H]1CCCc2cccnc12,-0.80945,JQGOUNFVDYUKMM-QMMMGPOBSA-N
alln_188,NCc1cccnc1,-0.80727,HDOUGSFASVGDCS-UHFFFAOYSA-N
alln_189,C[C@H](N)c1ccccc1,-0.82556,RQEUFEKYXDPUSK-ZETCQYMHSA-N
alln_19,COc1ccccc1N,-0.79425,VMPITZXILSNTON-UHFFFAOYSA-N
alln_190,C[C@H]1CCC[C@@H](N)C1,-0.82824,JYDYHSHPBDZRPU-NKWVEPMBSA-N
alln_191,Cc1ccc(CN)cc1,-0.80893,HMTSWYPNXFHGEP-UHFFFAOYSA-N
alln_192,Cc1ccc(CN)o1,-0.80978,YSEAGSCGERFGBL-UHFFFAOYSA-N
alln_193,NC1Cc2ccccc2C1,-0.82632,LMHHFZAXSANGGM-UHFFFAOYSA-N
alln_194,NCCc1cccnc1,-0.82741,NAHHNSMHYCLMON-UHFFFAOYSA-N
alln_195,C[C@@H](N)c1ccccc1,-0.82555,RQEUFEKYXDPUSK-SSDOTTSWSA-N
alln_196,NC(=S)c1ccccc1,-0.75642,QIOZLISABUUKJY-UHFFFAOYSA-N
alln_197,COc1cc(CN)cc(OC)c1,-0.8082,YGZJTYCCONJJGZ-UHFFFAOYSA-N
alln_199,NCc1ccc(Cl)s1,-0.807,QEEXZSPDLPRZEX-UHFFFAOYSA-N
alln_2,Nc1cccnc1,-0.78984,CUYKNJBYIJFRCU-UHFFFAOYSA-N
alln_20,Cc1cccc(C)c1N,-0.80514,UFFBMTHBGFGIHF-UHFFFAOYSA-N
alln_200,CCn1nccc1CN,-0.81602,VBRQKQJNZFDLDO-UHFFFAOYSA-N
alln_2008,NC1=CC=NC=C1,-0.78261,NUKYPUAOHBNCPY-UHFFFAOYSA-N
alln_201,COc1ccc(CN)cc1OC,-0.81049,DIVNUTGTTIRPQA-UHFFFAOYSA-N
alln_202,N[C@@H]1CCCc2cccnc12,-0.80945,JQGOUNFVDYUKMM-MRVPVSSYSA-N
alln_203,NC(=S)Nc1ccccn1,-0.78195,SLUHLANJIVXTRQ-UHFFFAOYSA-N
alln_204,COc1cccc(CN)c1,-0.80817,GRRIMVWABNHKBX-UHFFFAOYSA-N
alln_205,NC(=S)NCc1ccccc1,-0.79413,UCGFRIAOVLXVKL-UHFFFAOYSA-N
alln_206,NCCOc1ccccc1,-0.8185,IMLAIXAZMVDRGA-UHFFFAOYSA-N
alln_207,CSc1ccc(CN)cc1,-0.80701,SBMPBXFNKYJNIC-UHFFFAOYSA-N
alln_208,C[C@H]1CCC[C@H](N)C1,-0.82874,JYDYHSHPBDZRPU-BQBZGAKWSA-N
alln_209,C[C@H](N)c1ccc(F)cc1,-0.82026,QGCLEUGNYRXBMZ-LURJTMIESA-N
alln_21,COc1cccc(N)c1,-0.79052,NCBZRJODKRCREW-UHFFFAOYSA-N
alln_214,Cc1nc(CN)cs1,-0.80901,ZCKAEFOHSOQKHN-UHFFFAOYSA-N
alln_215,CC(C)(C)C(=O)CN,-0.80867,CRTRUQUJSMFWPD-UHFFFAOYSA-N
alln_216,N#CCCN,-0.81437,AGSPXMVUFBBBMO-UHFFFAOYSA-N
alln_218,NCC1CC1,-0.81787,IGSKHXTUVXSOMB-UHFFFAOYSA-N
alln_22,Cn1cnc2cc(N)ccc12,-0.79618,IWBGBYZGEQUDBT-UHFFFAOYSA-N
alln_220,NCc1cn[nH]n1,-0.80678,HKFJQCFGHPMXLQ-UHFFFAOYSA-N
alln_221,CCOCCCN,-0.82421,SOYBEXQHNURCGE-UHFFFAOYSA-N
alln_222,N[C@@H]1CCOC1,-0.82557,MIPHRQMEIYLZFZ-SCSAIBSYSA-N
alln_223,N[C@H]1CCOC1,-0.82556,MIPHRQMEIYLZFZ-BYPYZUCNSA-N
alln_224,CN(N)C(=S)N,-0.79268,IIGQLQZSWDUOBI-UHFFFAOYSA-N
alln_225,CC(=O)NC(=S)N,-0.76875,IPCRBOOJBPETMF-UHFFFAOYSA-N
alln_226,NCc1ncc[nH]1,-0.80371,CRZDNISJUXVSKX-UHFFFAOYSA-N
alln_227,CN(C)NC(=S)N,-0.79517,PVUJTISUCSKKBS-UHFFFAOYSA-N
alln_229,CCOC(=O)/C=C(\C)/N,-0.77428,not_found
alln_23,CNC(=O)Nc1ccc(N)cc1,-0.78996,PQRCDPOTCHWYAY-UHFFFAOYSA-N
alln_230,NCc1cc[nH]n1,-0.80823,IYSPNYLFKSTATA-UHFFFAOYSA-N
alln_231,N#CCN,-0.79516,DFNYGALUNNFWKJ-UHFFFAOYSA-N
alln_232,NC1CCC1,-0.81961,KZZKOVLJUKWSKX-UHFFFAOYSA-N
alln_233,N#C[C@@H](N)c1ccccc1,-0.7977,JTIHSSVKTWPPHI-MRVPVSSYSA-N
alln_234,CC(C)[C@](C)(N)C#N,-0.80603,CAOHBROWLMCZRP-ZCFIWIBFSA-N
alln_235,N#CC1(N)CCCCC1,-0.80139,HUMMCZRNZCKXHL-UHFFFAOYSA-N
alln_236,C=CCOc1ccc(CN)cc1,-0.81034,BQJOKMLXFZHRFX-UHFFFAOYSA-N
alln_237,NC1=CC(=O)c2ccccc2C1=O,-0.75752,CYCRZLRIJWDWCM-UHFFFAOYSA-N
alln_238,N#Cc1ccc(CN)cc1,-0.80428,LFIWXXXFJFOECP-UHFFFAOYSA-N
alln_239,CC(C)[C@@](C)(N)C#N,-0.80603,CAOHBROWLMCZRP-LURJTMIESA-N
alln_24,CC(=O)c1cnc(N)s1,-0.78499,XJKIEXPVXXFORX-UHFFFAOYSA-N
alln_240,N#C[C@H](N)c1ccccc1,-0.7977,JTIHSSVKTWPPHI-QMMMGPOBSA-N
alln_241,CC(C)NC(=S)N,-0.79835,POXAIQSXNOEQGM-UHFFFAOYSA-N
alln_242,CSC(=S)N,-0.77422,PLMHQXSIADFDIE-UHFFFAOYSA-N
alln_243,CC(=S)N,-0.76557,YUKQRDCYNOVPGJ-UHFFFAOYSA-N
alln_244,NC1CCOCC1,-0.82005,AHVQYHFYQWKUKB-UHFFFAOYSA-N
alln_245,Cn1cc(CN)cn1,-0.81031,KFTRXTSNTQSGNE-UHFFFAOYSA-N
alln_246,CC[C@H](N)C(=O)OC,-0.80981,ZZWPOYPWQTUZDY-BYPYZUCNSA-N
alln_248,Cn1nccc1CN,-0.81532,XNTFQMKXUFFUQO-UHFFFAOYSA-N
alln_249,CCOC(=S)N,-0.78365,PWZUZQNZVZKCBI-UHFFFAOYSA-N
alln_25,CCc1ccc(N)cc1,-0.79353,HRXZRAXKKNUKRF-UHFFFAOYSA-N
alln_251,CC[C@@H](N)C(=O)OC,-0.80982,ZZWPOYPWQTUZDY-SCSAIBSYSA-N
alln_252,Cn1ccc(CN)n1,-0.80834,SSXDUSOCSNXBPO-UHFFFAOYSA-N
alln_253,NCc1c[nH]cn1,-0.81122,MPCYZPCWSYUWMJ-UHFFFAOYSA-N
alln_255,CC(C)(C)CN,-0.82535,XDIAMRVROCPPBK-UHFFFAOYSA-N
alln_256,CC[C@H](C)N,-0.82925,BHRZNVHARXXAHW-BYPYZUCNSA-N
alln_257,CC[C@@H](C)N,-0.82925,BHRZNVHARXXAHW-SCSAIBSYSA-N
alln_258,CC(C)(C)CC(C)(C)N,-0.83048,QIJIUJYANDSEKG-UHFFFAOYSA-N
alln_259,CC(C)C(C)(C)N,-0.83766,YQNVPNRHJFZONU-UHFFFAOYSA-N
alln_26,Cc1ccc(N)cc1C,-0.7936,DOLQYFPDPKPQSS-UHFFFAOYSA-N
alln_260,CCCC(C)(C)N,-0.8301,KPNJYXKRHWAPHP-UHFFFAOYSA-N
alln_261,NCCC(=O)c1cccs1,-0.82253,BRSFKVCERZFMLX-UHFFFAOYSA-N
alln_262,CN(C(=S)N)C1CCCCC1,-0.80626,DRWVZPTVSGKMCK-UHFFFAOYSA-N
alln_263,NCc1cc(F)ccc1F,-0.81525,GDFBHCMFIUBEQT-UHFFFAOYSA-N
alln_264,CCCCCCN,-0.82116,BMVXCPBXGZKUPN-UHFFFAOYSA-N
alln_265,Cc1ccc(OCCN)cc1,-0.81871,WRJHHZOBJGDIHT-UHFFFAOYSA-N
alln_268,NCc1c[nH]c2ccccc12,-0.81267,JXYGLMATGAAIBU-UHFFFAOYSA-N
alln_269,NCCCc1ccccc1,-0.81775,LYUQWQRTDLVQGA-UHFFFAOYSA-N
