Compound_Name,smiles,Steric,InChIKey
alle_231,Brc1c[nH]c2ccccc12,30.72177,YHIWBVHIGCRVLE-UHFFFAOYSA-N
alle_232,Cc1cc(C)c(Br)c(C)c1,36.80167,RRTLQRYOJOSPEA-UHFFFAOYSA-N
alle_233,Brc1nc2c(s1)CCCC2,29.95182,ZOKVOUATOUMFEK-UHFFFAOYSA-N
alle_234,Brc1ccc2ccccc2c1,30.59643,APSMUYYLXZULMS-UHFFFAOYSA-N
alle_235,CCCCc1ccc(Br)cc1,30.47923,BRGVKVZXDWGJBX-UHFFFAOYSA-N
alle_236,Brc1ccccc1c1ccccc1,34.7376,KTADSLDAUJLZGL-UHFFFAOYSA-N
alle_237,NS(=O)(=O)c1ccc(Br)cc1,30.68922,STYQHICBPYRHQK-UHFFFAOYSA-N
alle_238,O=c1[nH]nc(Br)c(=O)[nH]1,31.36476,VNTFEWXYAOATFA-UHFFFAOYSA-N
alle_239,Cn1cc(Br)c(=O)n(C)c1=O,31.81567,QITOSXPGCRFMDG-UHFFFAOYSA-N
alle_24,Brc1ncc[nH]1,29.5823,AXHRGVJWDJDYPO-UHFFFAOYSA-N
alle_240,Brc1ncnc2nc[nH]c12,30.38156,CTGFGRDVWBZYNB-UHFFFAOYSA-N
alle_241,Cn1c(Br)cc(=O)n(C)c1=O,34.44947,XXZGZBJOMBOIJK-UHFFFAOYSA-N
alle_243,NC(=S)Nc1cccc(Br)c1,30.55574,XBRVSIPVHYWULW-UHFFFAOYSA-N
alle_244,O=c1cc(Br)[nH]c(=O)[nH]1,30.79828,YQJUVVITEPKZTL-UHFFFAOYSA-N
alle_245,COC(=O)Cc1cccc(Br)c1,30.56062,ULSSGHADTSRELG-UHFFFAOYSA-N
alle_246,CCOC(=O)c1ccc(Cl)nc1Br,34.12554,POZDNYGYJGFXMM-UHFFFAOYSA-N
alle_247,N#Cc1cc(Br)ccn1,30.59643,CZXDCTUSFIKLIJ-UHFFFAOYSA-N
alle_248,Cc1nnc(Br)c(C#N)c1C,32.54167,SGSZPSPKDRQWII-UHFFFAOYSA-N
alle_249,NC(=O)c1ccc(Br)cc1,30.59806,ZRWNRAJCPNLYAK-UHFFFAOYSA-N
alle_2,Brc1ccccc1,30.5476,QARVLSVVCXYDNA-UHFFFAOYSA-N
alle_25,Brc1cnccn1,30.00065,WGFCNCNTGOFBBF-UHFFFAOYSA-N
alle_250,Cc1cc(C)c(C#N)c(Br)n1,32.41796,BBLLODYBGYVNTH-UHFFFAOYSA-N
alle_251,CCOC(=O)c1sc(Br)nc1C,30.02832,CFBIOWPDDZPIDP-UHFFFAOYSA-N
alle_253,Brc1cccc2c1CCCC2,33.54441,WDNLCUAIHSXPBR-UHFFFAOYSA-N
alle_255,O=c1[nH]c2ccc(Br)cc2[nH]1,30.6355,VWIGEYVTDXNDHV-UHFFFAOYSA-N
alle_256,CCc1cccc(CC)c1Br,37.92649,FPWGIABDOFXETH-UHFFFAOYSA-N
alle_257,Fc1ccc(Br)c(F)c1F,31.82706,MUUAQFJJUGVBGB-UHFFFAOYSA-N
alle_258,CCOc1ccc(Br)cc1OCC,30.48086,HOUKULZGZUNDGI-UHFFFAOYSA-N
alle_259,Clc1cnc(Br)c(Cl)c1,32.52377,QCKPJWDIDCGQRB-UHFFFAOYSA-N
alle_26,Brc1nncs1,30.12437,DQBCRVIBTFHJLM-UHFFFAOYSA-N
alle_260,CCC(=O)c1ccc(Br)cc1,30.61759,UOMOSYFPKGQIKI-UHFFFAOYSA-N
alle_261,CCOC(=O)c1cc(Br)ncc1Cl,29.95833,CERNEAZUHJOWTG-UHFFFAOYSA-N
alle_262,Clc1cc(Br)nc(Cl)n1,30.11948,DQKJOXAJZKPHOH-UHFFFAOYSA-N
alle_263,CN(C)c1ccc(Br)cc1,30.39784,XYZWMVYYUIMRIZ-UHFFFAOYSA-N
alle_264,Fc1c(F)c(F)c(Br)c(F)c1F,33.00886,XEKTVXADUPBFOA-UHFFFAOYSA-N
alle_265,Fc1ccc(c2nnc(Br)o2)cc1,29.83787,LKJHVNNBNLANJV-UHFFFAOYSA-N
alle_266,Brc1nnc2n1CCCCC2,31.96705,XHYFKXLYHPYMOO-UHFFFAOYSA-N
alle_267,COC(=O)c1ccc(Br)nc1,30.00716,NFLROFLPSNZIAH-UHFFFAOYSA-N
alle_269,Cn1nnc2cc(Br)ccc12,30.7055,PPUYITCIMJVKFE-UHFFFAOYSA-N
alle_270,N#Cc1c(F)cccc1Br,33.14559,IELGUZKHALDFOO-UHFFFAOYSA-N
alle_271,Cc1c(F)cccc1Br,33.49557,DJGXPFQIMLEVPA-UHFFFAOYSA-N
alle_272,Brc1nc(c2cccs2)cs1,30.02018,XRXGEQOSIYEEKD-UHFFFAOYSA-N
alle_273,CC(C)(C)c1ccc(Br)cc1,30.50365,XHCAGOVGSDHHNP-UHFFFAOYSA-N
alle_275,CSc1nccc(Br)n1,29.94042,TZSQAGYDWPPKPE-UHFFFAOYSA-N
alle_276,Cc1cc(Br)ccc1F,30.55411,VXKYOKPNAXNAFU-UHFFFAOYSA-N
alle_277,CC[C@@H](C)c1ccc(Br)cc1,30.46783,DGZQEAKNZXNTNL-MRVPVSSYSA-N
alle_279,COc1cc(Br)cc(OC)c1,30.61759,KRWRFIMBWRVMKE-UHFFFAOYSA-N
alle_281,CCOC(=O)c1ncsc1Br,33.93997,QKZGUSXVOYLZTM-UHFFFAOYSA-N
alle_282,CC[C@H](C)c1ccc(Br)cc1,30.48411,DGZQEAKNZXNTNL-QMMMGPOBSA-N
alle_283,Fc1cc(Br)ncn1,30.05762,XTEOWKUJSOSABJ-UHFFFAOYSA-N
alle_284,Cn1cnc2cc(Br)ccc12,30.59806,KMJMDIYGNFGEEO-UHFFFAOYSA-N
alle_285,COC(=O)c1cc(Br)ccc1F,30.52318,DXOPSTSVRPCTOS-UHFFFAOYSA-N
alle_286,O=S(=O)(c1ccc(Br)cc1)N1CCCCC1,30.64201,AVWJTUSLSQWCFK-UHFFFAOYSA-N
alle_287,Cc1nccc(Br)n1,29.90624,OJPQVYZLQGRFSO-UHFFFAOYSA-N
alle_288,COc1cc(Br)ccc1n1cnc(C)c1,30.56713,KHGOIOOGUJMLBQ-UHFFFAOYSA-N
alle_289,COC(=O)c1ccc(Br)cc1F,30.68271,DLILIUSWDLJMCE-UHFFFAOYSA-N
alle_29,Brc1ccncn1,29.97298,XDADSGBUZWZQQQ-UHFFFAOYSA-N
alle_290,Clc1cc(Br)cc(Cl)n1,30.70061,GUBXTQINPBZVJP-UHFFFAOYSA-N
alle_291,O=c1[nH]c(c2ccc(Br)cc2)no1,30.6648,INJVJPDDSBYUMW-UHFFFAOYSA-N
alle_293,CC1(C)OB(c2cncc(Br)c2)OC1(C)C,30.48248,JSUVNRWVYRZAOS-UHFFFAOYSA-N
alle_294,CC1(C)OB(c2ccc(Br)nc2)OC1(C)C,29.9274,MEGBELYYUPCOIQ-UHFFFAOYSA-N
alle_295,COC(=O)c1ccc(Cl)nc1Br,34.19228,YHJFPSHEVMCNKC-UHFFFAOYSA-N
alle_296,CCOc1ccc2nc(Br)sc2c1,30.07716,RPHMOZFYYIXHRN-UHFFFAOYSA-N
alle_297,Brc1ccc(c2cnco2)cc1,30.59969,FEBCQOHEPVLTLY-UHFFFAOYSA-N
alle_298,CC1(C)OB(c2cccc(Br)c2)OC1(C)C,30.49062,FHCWGLQDAMYXJS-UHFFFAOYSA-N
alle_299,CC1(C)OB(c2ccc(Br)cc2)OC1(C)C,30.58829,AZCNDGAXOZWQPV-UHFFFAOYSA-N
alle_30,Cc1nc(Br)sc1C,29.96809,SOFNZMRISCENSZ-UHFFFAOYSA-N
alle_300,CC1(C)OB(c2ccc(Br)c(F)c2)OC1(C)C,31.82055,CVLFCLUICLFWPG-UHFFFAOYSA-N
alle_301,Brc1ccc(N2CCOCC2)cc1,30.38644,UJTKZWNRUPTHSB-UHFFFAOYSA-N
alle_302,CC1(C)OB(c2ccccc2Br)OC1(C)C,35.28129,BQVWGVYJHSRHSD-UHFFFAOYSA-N
alle_303,CC1(C)OB(c2cccc(Br)n2)OC1(C)C,29.83136,OAVRLCKBKDMGGW-UHFFFAOYSA-N
alle_304,O=N(=O)c1cc(Br)ccc1F,30.58504,UQEANKGXXSENNF-UHFFFAOYSA-N
alle_305,COC(=O)c1ccc(F)cc1Br,35.16408,JENBPOJAZCPSEW-UHFFFAOYSA-N
